host;IP
S-RJBN38\HMLCSRJ01;10.30.33.38
S-RJBN38\TSTCSRJ01;10.30.33.38
S-RJBN38\DSVCSRJ02;10.30.33.38
S-RJBN38\DSVSRRJ01;10.30.33.38
S-SEBD198\DVT,56449;10.0.18.198
S-SEBD198\TRNSISOSBCT,56457;10.0.18.198
S-SEBD198\TSTSISO,56458;10.0.18.198
S-SEBD198\TRNSISOSBEG,56455;10.0.18.198
S-SEBD198\DSVSICOA,56448;10.0.18.198
S-SEBD198\TRNGESTSBEG,56456;10.0.18.198
S-SEBD198\DSV,56447;10.0.18.198
S-SEBD198\DSVIFRCORP2,65225;10.0.18.198
S-SEBD199\DSVBI;10.0.18.199
S-SEBD199\DSVSSAS;10.0.18.199
S-SEBD74;10.0.18.74
S-SESD16\DSV;10.0.18.16
S-SESD224;10.0.18.224
S-SESD224;10.0.18.224
S-SESD33;10.0.18.33
SMARTHML;10.0.19.167
S-RJBN38\HMLCSRJ01;10.30.33.38
S-RJBN38\TSTCSRJ01;10.30.33.38
S-RJBN38\DSVCSRJ02;10.30.33.38
S-RJBN38\DSVSRRJ01;10.30.33.38
S-SEBH167;10.0.19.167
S-SEBH198\HMLEJUR,56449;10.0.19.198
S-SEBH198\HMLIFRCORP2,65225;10.0.19.198
S-SEBH198\HMLSCORE,65226;10.0.19.198
S-SEBH198\HMLSICOA,56448;10.0.19.198
S-SEBH198\HML,56447;10.0.19.198
S-SEBH198\HMLPAVEAIR,56446;10.0.19.198
S-SESH229;10.0.19.229
S-SEWH01;10.0.19.1
S_BGGN03\PRDSBBG01;10.69.17.3
S_MQGN06\PRODSBMQ01;10.92.17.6
S_UGGN01\PRDSBUG01;10.67.17.1
S-ARSN02\PRDSBAR01;10.74.17.32
S-ARSN02\PRDSBAR01;10.74.17.32
S-BEBN59\PRODSRNO02;10.7.17.59
S-BHBN23\PRDSBBH01;10.35.17.23
S-BIBN05\PRDSBBI02;10.65.17.5
S-BRBN177\PROD;10.8.17.177
S-BVBN29\PRDSBBV_GEST01;10.52.17.29
S-CJGN03\PRDSBCJ03;10.96.17.4
S-CTBN44\PRDSBCT03;10.60.17.44
S-CTBN54\PRDSBCT04;10.60.17.54
S-CYBN11\PRDSBCY01;10.81.17.11
S-CYBN12\PRDSBCY01;10.81.17.12
S-CZSIV01\PRDSBCZ01;10.55.17.20
S-FIBN09\PRDSBFI02;10.66.17.9
S-GOBN17\PRDSBGO01;10.80.17.17
S-GOBN61\PRDSBGO01;10.80.17.61
S-HTBN101\PRODSBHT01;10.93.17.101
S-IZBN101\PRODSBIZ01;10.99.17.101
S-JPSN01\PRDSBJP01;10.78.17.31
S-JPSN01\PRDSBJP01;10.78.17.31
S-JPSN02\PRDSBJP02;10.78.17.32
S-JRBN13\PRDSBJR01;10.30.17.13
S-JRBN14\PRDSBJR02;10.30.17.14
S-JUSN01\PRDSBJU01;10.71.129.31
S-JVBN10\PRDSBJV01;10.62.17.10
S-KGSN01\PRDSBKG01;10.75.17.31
S-LOBN31\PRDSBLO2;10.61.17.31
S-LOBN31\PRDSBLO31;10.61.17.31
S-MAGN06\PRDSBMA01;10.94.17.6
SMARTPRD;10.0.17.169
S-MKGN05\PRDSBMK02;10.37.17.5
S-MNBN29\PRDSBEG_GEST01;10.3.17.29
S-MNBN29\PRDSBEG_GEST02;10.3.17.29
S-MNBN29\PRDSBEG_GEST03;10.3.17.29
S-MNBN29\PRDSBEG_GEST04;10.3.17.29
S-MNSIV01\PRDSBEG01;10.3.17.41
S-MOSN01\PRDSBMO01;10.72.17.31
S-MOSN02\PRDSBMO01;10.72.17.32
S-MOSN02\PRDSBMO01;10.72.17.32
S-MTBN10\PRDSBMT01;10.40.17.10
S-NFBN06\PRDSBNF01;10.63.17.6
S-NVBN111;10.0.36.111
S-NVBN111\CORP2 ;10.0.36.111
S-PBSN01\PRDSBPB01;10.76.129.31
S-PJBN11\PRDSBPJ01;10.85.17.11
S-PJBN18\PRDSBPJ01;10.85.17.18
S-PKBN03\PRDSBPK02;10.68.17.3
S-PLSN01\PRDSBPL01;10.70.129.31
S-PPBN12\PRDSBPP01;10.47.17.12
S-PRBN03\PRDSBPR01;10.30.129.3
S-PVSIV01\PRDSBPV01;10.54.17.11
SQLSRNO01\PRODSRNO01;10.7.17.58
S-RBBN29\PRDSBRB_GEST01;10.50.17.29
S-RBSISO01\PRDSBRB01;10.50.17.16
