HostName;FisicoVM;SistemaOperaciona;IPaddress;PortConect
S-SEBN2611;S-SEBN2611;Windows Server 2019 Standard 10.0 <X64> ;10.0.26.11;3389
S-SEBN95;S-SEBN95;Windows Server 2016 Standard 10.0 <X64> ;10.0.17.95;3389
S-SEBN26;S-SEBN26;Windows Server 2016 Datacenter 10.0 <X64> ;10.0.17.26;3389
S-SEBN94;S-SEBN94;Windows Server 2016 Standard 10.0 <X64> ;10.0.17.94;3389
S-SEBN27110;S-SEBN27110;Windows Server 2012 R2 Standard 6.3 <X64> ;10.0.4.110;3389
S-SEBN27160;S-SEBN27160;Windows Server 2012 R2 Standard 6.3 <X64>;10.0.4.110;3389
S-SEBN2631;S-SEBN2631;Windows Server 2008 R2 Enterprise NT 6.1 <X64>;10.0.26.36;3389
S-SEBN164;S-SEBN164;Windows NT 6.2 <X64> ;10.0.17.164;3389
S-SEBN166;S-SEBN166;Windows Server 2012 Datacenter NT 6.2 <X64>;10.0.17.166;3389
S-SEBN27166;S-SEBN27166;Windows Server 2012 Datacenter NT 6.3 <X64>;10.0.27.166;3389
S-SEBN26189;S-SEBN26189;Windows Server 2019 Standard 10.0 <X64> ;10.0.26.189;3389
S-RJBN38;S-RJBN38;Windows NT 6.3 <X64> ;10.30.33.38;3389
S-SEBD198;S-SEBD198;Windows Server 2019 Standard 10.0 <X64> ;10.0.18.198;3389
S-SEBD199;S-SEBD199;Windows Server 2019 Standard 10.0 <X64> ;10.0.18.199;3389
S-SEBD74;S-SEBD74;Windows Server 2012 R2 Standard 6.3 <X64> ;10.0.18.74;3389
S-SESD16;S-SESD16;Windows NT 6.3 <X64> ;10.0.18.16;3389
S-SESD224;S-SESD224;Windows Server 2012 R2 Standard 6.3 <X64> ;10.0.18.224;3389
S-SESD33;S-SESD33;Windows NT 6.1 <X64> ;10.0.18.33;3389
SMARTHML;SMARTHML;Windows Server 2016 Standard 10.0 <X64> ;10.0.19.167;3389
S-RJBN38;S-RJBN38;Windows NT 6.3 <X64> ;10.30.33.38;3389
S-SEBH167;S-SEBH167;Windows Server 2016 Standard 10.0 <X64> ;10.0.19.167;3389
S-SEBH198;S-SEBH198;Windows Server 2019 Standard 10.0 <X64> ;10.0.19.198;3389
S-SESH229;S-SESH229;Windows NT 6.3 <X64> ;10.0.19.229;3389
S-SEWH01;S-SEWH01;Windows NT 6.1 <X64> ;10.0.19.1;3389
S_BGGN03;S_BGGN03;Windows NT 5.2 ;10.69.17.3;3389
S_MQGN06;S_MQGN06;NULL;10.92.17.6;3389
S_UGGN01;S_UGGN01;Windows NT 6.3 <X64> ;10.67.17.1;3389
S-ARSN02;S-ARSN02;Windows NT 6.1 ;10.74.17.32;3389
S-BEBN59;S-BEBN59;NULL;10.7.17.59;3389
S-BHBN23;S-BHBN23;NULL;10.35.17.23;3389
S-BIBN05;S-BIBN05;Windows NT 6.1 ;10.65.17.5;3389
S-BRBN177;S-BRBN177;Windows NT 6.1 <X64> ;10.8.17.177;3389
S-BVBN29;S-BVBN29;NULL;10.52.17.29;3389
S-CJGN03;S-CJGN03;NULL;10.96.17.4;3389
